Quarter,Age,Gender,Location,Total Stays,Average Length of Stay (in days)
2020Q3,70-79 ,Female,Fife,759,8
2020Q3,70-79 ,Male,Fife,899,7
2020Q3,80-89 ,Female,Fife,702,11
2020Q3,80-89 ,Male,Fife,596,10
2020Q3,90 +,Female,Fife,205,22
2020Q3,90 +,Male,Fife,96,9
2020Q4,0-9 ,Female,Fife,18,1
2020Q4,0-9 ,Male,Fife,26,1
2020Q4,10-19 ,Female,Fife,72,1
2020Q4,10-19 ,Male,Fife,99,1
2020Q4,20-29 ,Female,Fife,242,2
2020Q4,20-29 ,Male,Fife,167,3
2020Q4,30-39 ,Female,Fife,334,2
2020Q4,30-39 ,Male,Fife,250,2
2020Q4,40-49 ,Female,Fife,346,3
2020Q4,40-49 ,Male,Fife,314,5
2020Q4,50-59 ,Female,Fife,564,3
2020Q4,50-59 ,Male,Fife,536,3
2020Q4,60-69 ,Female,Fife,583,7
2020Q4,60-69 ,Male,Fife,752,7
2020Q4,70-79 ,Female,Fife,805,8
2020Q4,70-79 ,Male,Fife,900,7
2020Q4,80-89 ,Female,Fife,732,14
2020Q4,80-89 ,Male,Fife,618,4
2020Q4,90 +,Female,Fife,211,9
2020Q4,90 +,Male,Fife,115,14
2021Q1,0-9 ,Female,Fife,16,0
2021Q1,0-9 ,Male,Fife,25,1
2021Q1,10-19 ,Female,Fife,61,1
2021Q1,10-19 ,Male,Fife,50,1
2021Q1,20-29 ,Female,Fife,223,1
2021Q1,20-29 ,Male,Fife,164,2
2021Q1,30-39 ,Female,Fife,353,2
2021Q1,30-39 ,Male,Fife,244,2
2021Q1,40-49 ,Female,Fife,342,2
2021Q1,40-49 ,Male,Fife,284,3
2021Q1,50-59 ,Female,Fife,472,3
2021Q1,50-59 ,Male,Fife,521,4
2021Q1,60-69 ,Female,Fife,586,5
2021Q1,60-69 ,Male,Fife,706,4
2021Q1,70-79 ,Female,Fife,728,9
2021Q1,70-79 ,Male,Fife,826,8
2021Q1,80-89 ,Female,Fife,653,12
